"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.596340542E0,3.292701985E-1,2.288347314E-1,2.112850446E-1
3.606374542E0,2.699955117E-1,2.579505032E-1,1.221407336E-1
3.616408542E0,2.038065288E-1,2.826000255E-1,4.382195771E-2
3.626442542E0,9.895608500E-2,2.916054685E-1,-4.341089845E-2
3.636476542E0,6.330950322E-2,2.400410664E-1,-1.215489954E-1
3.646510542E0,2.512221487E-2,1.448476647E-1,-1.741721821E-1
3.656544542E0,7.095559649E-3,5.599176764E-2,-2.492703116E-1
3.666578542E0,-5.472555310E-2,-2.647224560E-2,-2.363783705E-1
3.676612542E0,-1.077141908E-1,-7.259800628E-2,-1.515686005E-1
3.686646542E0,-1.075015531E-1,-8.693230927E-2,-4.713674426E-2
3.696680542E0,-9.346103618E-2,-1.086240175E-1,-1.207976282E-2
3.706714542E0,-4.119736187E-2,-1.271515051E-1,-5.332660675E-4
3.716748542E0,-6.983585469E-3,-1.079536343E-1,3.747129679E-2
3.726782542E0,2.870769097E-2,-7.259230524E-2,4.288347960E-3
3.736816542E0,2.191355528E-2,-9.194717377E-2,-9.308650374E-2
3.746850542E0,-2.515150577E-2,-1.263558452E-1,-2.076200098E-1
3.756884542E0,-9.766726730E-2,-1.357580218E-1,-3.019689274E-1
